建築物名稱,轄管分局,地址_縣市別代碼,地址_行政區域代碼,里別,地址_鄰,地址_路,地址_非路,地址_街,地址_段,地址_巷,地址_弄,地址_衖,地址_號,地址_之號,地址_樓,地址_其他,地下樓層數,可容納人數,緯度,經度,備註
築億海格社區,桃園分局,68000,68000010,汴洲里,34,N/A,N/A,水岸二街,N/A,N/A,N/A,N/A,270,N/A,二樓,N/A,1、2、3、4,939,25.030375,121.296981,N/A
聖保祿醫院,桃園分局,68000,68000010,福林里,2,N/A,N/A,建新街,N/A,N/A,N/A,N/A,151,N/A,N/A,N/A,1、2、3、4,5557,24.980713,121.311366,N/A
昭陽天地社區,桃園分局,68000,68000010,中成里,6,文中一路,N/A,N/A,N/A,N/A,N/A,N/A,296,N/A,N/A,N/A,1、2,2896,25.003072,121.293165,N/A
民宅,桃園分局,68000,68000010,龍鳳里,7,N/A,N/A,龍鳳一街,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,1,129,24.986358,121.280741,N/A
京澄為樂社區,桃園分局,68000,68000010,文中里,22,正光路,N/A,N/A,N/A,N/A,N/A,N/A,393,N/A,N/A,N/A,1、2、3,793,25.000234,121.294414,N/A
昭陽天寬社區,桃園分局,68000,68000010,中成里,6,溫州一路,N/A,N/A,N/A,N/A,N/A,N/A,188,N/A,八樓,N/A,1、2、3,1886,25.002653,121.291736,N/A
竹城東京都社區,桃園分局,68000,68000010,同德里,15,N/A,N/A,中埔一街,N/A,88,N/A,N/A,20,N/A,2樓,N/A,1、2、3,1361,25.013982,121.297073,N/A
京城建築公司,桃園分局,68000,68000010,汴洲里,12,N/A,N/A,至善街,N/A,N/A,N/A,N/A,290,N/A,N/A,N/A,1,454,25.021383,121.316589,N/A
西廟,桃園分局,68000,68000010,西湖里,1,中山路,N/A,N/A,N/A,N/A,N/A,N/A,222,N/A,N/A,N/A,1,840,24.992945,121.307666,N/A
僑馥建築公司,桃園分局,68000,68000010,大豐里,3,延平路,N/A,N/A,N/A,N/A,N/A,N/A,66,N/A,N/A,N/A,1、2、3,1763,24.984345,121.314037,N/A
亞昕一見社區,桃園分局,68000,68000010,青溪里,16,三民路,N/A,N/A,二,N/A,N/A,N/A,172,N/A,11樓,N/A,1、2、3,2251,25.001842,121.313471,N/A
誠鑫風禾秀社區,桃園分局,68000,68000010,文中里,21,文中二路,N/A,N/A,N/A,N/A,N/A,N/A,135,N/A,N/A,N/A,1、2、3,572,24.999907,121.289587,N/A
